Letters,Words,Islands,Doublets,Longest,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
2,127,0,0,5,127,127,127,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1347,1,0,9,1346,1346,1346,1346,1346,1292,648,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5638,59,12,16,5579,5567,5563,5563,5563,5563,5563,5563,5562,5305,3923,1248,139,29,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12972,814,303,27,12158,11855,11771,11736,11710,11700,11698,11695,11695,11695,11695,11695,11695,11695,11695,11687,11234,8903,5410,2383,849,334,146,76,33,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,23033,3986,1947,43,19047,17100,16282,15842,15597,15444,15353,15300,15250,15222,15209,15200,15196,15193,15191,15191,15191,15191,15191,15191,15191,15191,15174,15011,14658,13986,12474,9973,6752,4328,2815,1834,1190,793,539,336,196,100,45,24,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,34342,10103,5155,65,24239,19084,16747,15456,14755,14284,13970,13790,13655,13548,13456,13390,13332,13280,13233,13194,13164,13142,13126,13117,13111,13108,13105,13102,13100,13098,13098,13098,13098,13098,13098,13098,13091,12970,12453,11569,10537,9074,7280,5741,4446,3310,2388,1716,1244,973,806,666,529,418,337,261,197,153,126,104,86,70,61,53,41,26,14,2,,,,,,,,,,,,,,,
8,42150,17877,8818,80,24273,15455,11641,9822,8844,8243,7883,7627,7414,7244,7071,6832,6542,6201,5891,5676,5528,5403,5311,5213,5113,5025,4932,4845,4768,4705,4637,4530,4351,4113,3918,3819,3771,3737,3701,3672,3651,3633,3614,3592,3576,3550,3493,3408,3284,3059,2755,2477,2321,2228,2143,2067,1978,1872,1767,1651,1513,1350,1186,1061,956,839,735,652,603,556,507,439,362,304,246,190,146,108,83,61,44,18,3
9,42933,23315,10380,34,19618,9238,5044,3352,2589,2123,1770,1537,1355,1251,1183,1103,1020,942,864,797,714,650,610,571,530,475,411,339,267,209,165,132,91,54,31,15,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,37235,23291,8765,11,13944,5179,1915,748,379,205,124,72,35,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,29027,19347,6620,27,9680,3060,1011,400,243,189,175,167,156,146,136,131,129,126,119,112,97,83,74,61,51,41,31,21,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21025,14714,4516,7,6311,1795,457,107,37,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14345,10281,3152,5,4064,912,181,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,9397,6788,1981,7,2609,628,172,20,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,5925,4273,1332,5,1652,320,43,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
